Year,Month,Month name,date,mode,patronage,patronage_millions
2018,12,December,2018-12-01,Regional bus,878944.0,0.878944
2019,1,January,2019-01-01,Regional bus,748369.0,0.748369
2019,2,February,2019-02-01,Regional bus,1201991.0,1.201991
2019,3,March,2019-03-01,Regional bus,1232933.0,1.232933
2019,4,April,2019-04-01,Regional bus,961318.0,0.961318
2019,5,May,2019-05-01,Regional bus,1287180.0,1.28718
2019,6,June,2019-06-01,Regional bus,1084632.0,1.084632
2019,7,July,2019-07-01,Regional bus,1083306.0,1.083306
2019,8,August,2019-08-01,Regional bus,1275349.0,1.275349
2019,9,September,2019-09-01,Regional bus,1089826.0,1.089826
2019,10,October,2019-10-01,Regional bus,1212228.0,1.212228
2019,11,November,2019-11-01,Regional bus,1126220.0,1.12622
2019,12,December,2019-12-01,Regional bus,873469.0,0.873469
2020,1,January,2020-01-01,Regional bus,764361.0,0.764361
2020,2,February,2020-02-01,Regional bus,1276038.0,1.276038
2020,3,March,2020-03-01,Regional bus,947946.0,0.947946
2020,4,April,2020-04-01,Regional bus,227342.0,0.227342
2020,5,May,2020-05-01,Regional bus,368116.0,0.368116
2020,6,June,2020-06-01,Regional bus,763812.0,0.763812
2020,7,July,2020-07-01,Regional bus,769837.0,0.769837
2020,8,August,2020-08-01,Regional bus,343285.0,0.343285
2020,9,September,2020-09-01,Regional bus,380397.0,0.380397
2020,10,October,2020-10-01,Regional bus,848872.0,0.848872
2020,11,November,2020-11-01,Regional bus,911034.0,0.911034
2020,12,December,2020-12-01,Regional bus,666297.0,0.666297
2021,1,January,2021-01-01,Regional bus,484867.0,0.484867
2021,2,February,2021-02-01,Regional bus,797454.0,0.797454
2021,3,March,2021-03-01,Regional bus,1009127.0,1.009127
2021,4,April,2021-04-01,Regional bus,697503.0,0.697503
2021,5,May,2021-05-01,Regional bus,811685.0,0.811685
2021,6,June,2021-06-01,Regional bus,693393.0,0.693393
2021,7,July,2021-07-01,Regional bus,599227.0,0.599227
2021,8,August,2021-08-01,Regional bus,707880.0,0.70788
2021,9,September,2021-09-01,Regional bus,451102.0,0.451102
2021,10,October,2021-10-01,Regional bus,656824.0,0.656824
2021,11,November,2021-11-01,Regional bus,855704.0,0.855704
2021,12,December,2021-12-01,Regional bus,688849.0,0.688849
2022,1,January,2022-01-01,Regional bus,549859.0,0.549859
2022,2,February,2022-02-01,Regional bus,985731.0,0.985731
2022,3,March,2022-03-01,Regional bus,1060923.0,1.060923
2022,4,April,2022-04-01,Regional bus,838558.0,0.838558
2022,5,May,2022-05-01,Regional bus,1121794.0,1.121794
2022,6,June,2022-06-01,Regional bus,926422.0,0.926422
2022,7,July,2022-07-01,Regional bus,975473.0,0.975473
2022,8,August,2022-08-01,Regional bus,1098964.0,1.098964
2022,9,September,2022-09-01,Regional bus,858200.0,0.8582
2022,10,October,2022-10-01,Regional bus,1159113.0,1.159113
2022,11,November,2022-11-01,Regional bus,1035487.0,1.035487
2022,12,December,2022-12-01,Regional bus,863993.0,0.863993
2023,1,January,2023-01-01,Regional bus,820221.0,0.820221
2023,2,February,2023-02-01,Regional bus,1096006.0,1.096006
2023,3,March,2023-03-01,Regional bus,1247122.0,1.247122
2023,4,April,2023-04-01,Regional bus,938444.0,0.938444
2023,5,May,2023-05-01,Regional bus,1222849.0,1.222849
2023,6,June,2023-06-01,Regional bus,1049480.0,1.04948
2023,7,July,2023-07-01,Regional bus,1148259.0,1.148259
2023,8,August,2023-08-01,Regional bus,1255113.0,1.255113
2023,9,September,2023-09-01,Regional bus,1103635.0,1.103635
2023,10,October,2023-10-01,Regional bus,1242909.0,1.242909
2023,11,November,2023-11-01,Regional bus,1190730.0,1.19073
2023,12,December,2023-12-01,Regional bus,1009701.0,1.009701
2024,1,January,2024-01-01,Regional bus,841044.0,0.841044
2024,2,February,2024-02-01,Regional bus,1115173.0,1.115173
2024,3,March,2024-03-01,Regional bus,1116628.0,1.116628
2024,4,April,2024-04-01,Regional bus,1056862.0,1.056862
2024,5,May,2024-05-01,Regional bus,1247979.0,1.247979
2024,6,June,2024-06-01,Regional bus,994915.0,0.994915
2024,7,July,2024-07-01,Regional bus,1068435.0,1.068435
2024,8,August,2024-08-01,Regional bus,1183307.0,1.183307
2024,9,September,2024-09-01,Regional bus,1027230.0,1.02723
2024,10,October,2024-10-01,Regional bus,1193762.0,1.193762
2024,11,November,2024-11-01,Regional bus,940930.0,0.94093
2024,12,December,2024-12-01,Regional bus,921439.0,0.921439
2025,1,January,2025-01-01,Regional bus,782149.0,0.782149
2025,2,February,2025-02-01,Regional bus,1025310.0,1.02531
2025,3,March,2025-03-01,Regional bus,1147175.0,1.147175
2025,4,April,2025-04-01,Regional bus,961133.0,0.961133
2025,5,May,2025-05-01,Regional bus,1110728.0,1.110728
2025,6,June,2025-06-01,Regional bus,962106.0,0.962106
2025,7,July,2025-07-01,Regional bus,956183.0,0.956183
2025,8,August,2025-08-01,Regional bus,990904.0,0.990904
2025,9,September,2025-09-01,Regional bus,940369.0,0.940369
2025,10,October,2025-10-01,Regional bus,1117069.0,1.117069
2025,11,November,2025-11-01,Regional bus,936233.0,0.936233
2025,12,December,2025-12-01,Regional bus,895411.0,0.895411
2026,1,January,2026-01-01,Regional bus,771902.0,0.771902
